channel,video_id,video_title,publishedAt,comment,neg,neu,pos,compound,search_query
TechDale,R7WYq5QYJ44,APPLE VISION PRO È STATO UN FALLIMENTO?,2025-02-02T12:38:59Z,Meta quest 3s ha piu senso,0.0,0.676,0.324,0.34,
TechDale,R7WYq5QYJ44,APPLE VISION PRO È STATO UN FALLIMENTO?,2025-02-02T12:38:59Z,quindi un prodotto da scafale?  quante volte lo hai usato nella quotidianità?,0.0,1.0,0.0,0.0,
TechDale,R7WYq5QYJ44,APPLE VISION PRO È STATO UN FALLIMENTO?,2025-02-02T12:38:59Z,"Il futuro non è VR, ma AR (non con un visore addosso)",0.0,1.0,0.0,0.0,
TechDale,R7WYq5QYJ44,APPLE VISION PRO È STATO UN FALLIMENTO?,2025-02-02T12:38:59Z,bro ti compri il meta quest 3 e scpondi un rene in meno  ma è identico,0.0,1.0,0.0,0.0,
TechDale,R7WYq5QYJ44,APPLE VISION PRO È STATO UN FALLIMENTO?,2025-02-02T12:38:59Z,"Wow! Può fare tutte le cose che fa un meta  quest 3 che costa 3000 euro in meno 🤣 ah no, con il meta quest puoi anche giocare lol",0.0,0.748,0.252,0.8777,
TechDale,R7WYq5QYJ44,APPLE VISION PRO È STATO UN FALLIMENTO?,2025-02-02T12:38:59Z,meglio un Meta Quest3 (costa molto meno) fa le stesse cose in più giocare anche su pc con Virtual Desktop,0.0,1.0,0.0,0.0,
TechDale,R7WYq5QYJ44,APPLE VISION PRO È STATO UN FALLIMENTO?,2025-02-02T12:38:59Z,"Dai jaki EPPPOL non si può sentire 🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️ 
Ma dire APHOL!?",0.099,0.901,0.0,-0.5093,
TechDale,R7WYq5QYJ44,APPLE VISION PRO È STATO UN FALLIMENTO?,2025-02-02T12:38:59Z,"Apple Vision Pro è una cagata pazzesca prezzo folle per un nulla cosmico non ci sono contenuti ne niente, costa quanto almeno 4 meta quest 3 che fanno molto più cose e intrattenimento. Indubbiamente la qualità è superiore ma penso che se uno spende 4000 dollari per un visore per poi limitarsi a usare due app di cucina e guardare due video, si mi sembra proprio una cagata e un fallimento",0.0,0.972,0.028,0.25,
TechDale,R7WYq5QYJ44,APPLE VISION PRO È STATO UN FALLIMENTO?,2025-02-02T12:38:59Z,"Semplice fail perché troppo caro rispetto alla concorrenza che fa quasi le stesse cose , peccato con il loro nome e potenziale potevano renderlo globale",0.127,0.873,0.0,-0.5423,
TechDale,R7WYq5QYJ44,APPLE VISION PRO È STATO UN FALLIMENTO?,2025-02-02T12:38:59Z,Io compro il meta quest 3 tra un mese,0.0,1.0,0.0,0.0,
TechDale,R7WYq5QYJ44,APPLE VISION PRO È STATO UN FALLIMENTO?,2025-02-02T12:38:59Z,il mio sogno e il vision pro,0.0,0.75,0.25,0.25,
TechDale,R7WYq5QYJ44,APPLE VISION PRO È STATO UN FALLIMENTO?,2025-02-02T12:38:59Z,davero il vision pro e il futuro,0.0,0.75,0.25,0.25,
