week,product,sentiment_categoria,count,total,percentage
2024-12-02,Apple Vision Pro,Negativo,4,27,14.814814814814813
2024-12-02,Apple Vision Pro,Neutro,11,27,40.74074074074074
2024-12-02,Apple Vision Pro,Positivo,12,27,44.44444444444444
2024-12-02,Meta Quest 3,Negativo,3,30,10.0
2024-12-02,Meta Quest 3,Neutro,10,30,33.33333333333333
2024-12-02,Meta Quest 3,Positivo,17,30,56.666666666666664
2024-12-09,Apple Vision Pro,Negativo,4,28,14.285714285714285
2024-12-09,Apple Vision Pro,Neutro,10,28,35.714285714285715
2024-12-09,Apple Vision Pro,Positivo,14,28,50.0
2024-12-09,Meta Quest 3,Negativo,7,56,12.5
2024-12-09,Meta Quest 3,Neutro,17,56,30.357142857142854
2024-12-09,Meta Quest 3,Positivo,32,56,57.14285714285714
2024-12-16,Apple Vision Pro,Negativo,3,25,12.0
2024-12-16,Apple Vision Pro,Neutro,10,25,40.0
2024-12-16,Apple Vision Pro,Positivo,12,25,48.0
2024-12-16,Meta Quest 3,Negativo,3,44,6.8181818181818175
2024-12-16,Meta Quest 3,Neutro,8,44,18.181818181818183
2024-12-16,Meta Quest 3,Positivo,33,44,75.0
2024-12-23,Apple Vision Pro,Negativo,4,27,14.814814814814813
2024-12-23,Apple Vision Pro,Neutro,11,27,40.74074074074074
2024-12-23,Apple Vision Pro,Positivo,12,27,44.44444444444444
2024-12-23,Meta Quest 3,Negativo,7,45,15.555555555555555
2024-12-23,Meta Quest 3,Neutro,9,45,20.0
2024-12-23,Meta Quest 3,Positivo,29,45,64.44444444444444
2024-12-30,Apple Vision Pro,Negativo,4,22,18.181818181818183
2024-12-30,Apple Vision Pro,Neutro,10,22,45.45454545454545
2024-12-30,Apple Vision Pro,Positivo,8,22,36.36363636363637
2024-12-30,Meta Quest 3,Negativo,2,27,7.4074074074074066
2024-12-30,Meta Quest 3,Neutro,10,27,37.03703703703704
2024-12-30,Meta Quest 3,Positivo,15,27,55.55555555555556
2025-01-06,Apple Vision Pro,Negativo,6,26,23.076923076923077
2025-01-06,Apple Vision Pro,Neutro,10,26,38.46153846153847
2025-01-06,Apple Vision Pro,Positivo,10,26,38.46153846153847
2025-01-06,Meta Quest 3,Negativo,1,21,4.761904761904762
2025-01-06,Meta Quest 3,Neutro,5,21,23.809523809523807
2025-01-06,Meta Quest 3,Positivo,15,21,71.42857142857143
2025-01-13,Apple Vision Pro,Negativo,2,21,9.523809523809524
2025-01-13,Apple Vision Pro,Neutro,4,21,19.047619047619047
2025-01-13,Apple Vision Pro,Positivo,15,21,71.42857142857143
2025-01-13,Meta Quest 3,Negativo,2,13,15.384615384615385
2025-01-13,Meta Quest 3,Neutro,4,13,30.76923076923077
2025-01-13,Meta Quest 3,Positivo,7,13,53.84615384615385
2025-01-20,Apple Vision Pro,Negativo,1,13,7.6923076923076925
2025-01-20,Apple Vision Pro,Neutro,7,13,53.84615384615385
2025-01-20,Apple Vision Pro,Positivo,5,13,38.46153846153847
2025-01-20,Meta Quest 3,Negativo,7,31,22.58064516129032
2025-01-20,Meta Quest 3,Neutro,9,31,29.03225806451613
2025-01-20,Meta Quest 3,Positivo,15,31,48.38709677419355
2025-01-27,Apple Vision Pro,Negativo,2,30,6.666666666666667
2025-01-27,Apple Vision Pro,Neutro,8,30,26.666666666666668
2025-01-27,Apple Vision Pro,Positivo,20,30,66.66666666666666
2025-01-27,Meta Quest 3,Negativo,4,14,28.57142857142857
2025-01-27,Meta Quest 3,Neutro,2,14,14.285714285714285
2025-01-27,Meta Quest 3,Positivo,8,14,57.14285714285714
2025-02-03,Apple Vision Pro,Negativo,1,9,11.11111111111111
2025-02-03,Apple Vision Pro,Neutro,4,9,44.44444444444444
2025-02-03,Apple Vision Pro,Positivo,4,9,44.44444444444444
2025-02-03,Meta Quest 3,Negativo,5,19,26.31578947368421
2025-02-03,Meta Quest 3,Neutro,2,19,10.526315789473683
2025-02-03,Meta Quest 3,Positivo,12,19,63.1578947368421
2025-02-10,Apple Vision Pro,Negativo,4,17,23.52941176470588
2025-02-10,Apple Vision Pro,Neutro,5,17,29.411764705882355
2025-02-10,Apple Vision Pro,Positivo,8,17,47.05882352941176
2025-02-10,Meta Quest 3,Negativo,6,17,35.294117647058826
2025-02-10,Meta Quest 3,Neutro,2,17,11.76470588235294
2025-02-10,Meta Quest 3,Positivo,9,17,52.94117647058824
2025-02-17,Apple Vision Pro,Negativo,5,16,31.25
2025-02-17,Apple Vision Pro,Neutro,3,16,18.75
2025-02-17,Apple Vision Pro,Positivo,8,16,50.0
2025-02-17,Meta Quest 3,Negativo,5,38,13.157894736842104
2025-02-17,Meta Quest 3,Neutro,6,38,15.789473684210526
2025-02-17,Meta Quest 3,Positivo,27,38,71.05263157894737
2025-02-24,Apple Vision Pro,Negativo,6,27,22.22222222222222
